id,w,h,n_bandas,cabecera_y,principal_y,pie_y,marco_izq_der_sup_inf,logo,frente_x,espalda_x,recorte_frac,formato
AIM-P007-039.jpg,4096,3277,3,0.028-0.171,0.211-0.839,0.871-0.969,0/0/0/0,si,0.166-0.566,0.567-0.977,0.490,"(3, 1, 1, 1, 0)"
AIM-P007-040.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.569,0.571-0.977,0.490,"(3, 1, 1, 1, 0)"
AIM-P007-041.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.169-0.570,0.573-0.973,0.494,"(3, 1, 1, 1, 0)"
AIM-P007-042.png,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.566,0.569-0.977,0.490,"(3, 1, 1, 1, 0)"
AIM-P007-043.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.566,0.569-0.973,0.493,"(3, 1, 1, 1, 0)"
AIM-P007-044.jpg,4096,3277,3,0.028-0.171,0.210-0.839,0.871-0.969,0/0/0/0,si,0.166-0.566,0.567-0.976,0.491,"(3, 1, 1, 1, 0)"
AIM-P007-045.jpg,800,640,3,0.028-0.170,0.211-0.838,0.870-0.969,0/0/0/0,si,0.168-0.565,0.568-0.979,0.490,"(3, 1, 1, 1, 0)"
AIM-P007-046.gif,700,560,3,0.025-0.173,0.207-0.836,0.868-0.971,0/0/0/0,si,0.169-0.557,0.560-0.971,0.493,"(3, 1, 1, 1, 0)"
AIM-P007-047.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.566,0.569-0.977,0.490,"(3, 1, 1, 1, 0)"
AIM-P007-048.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.566,0.569-0.973,0.493,"(3, 1, 1, 1, 0)"
AIM-P007-049.jpg,700,560,3,0.027-0.170,0.209-0.839,0.870-0.968,0/0/0/0,si,0.167-0.569,0.571-0.973,0.490,"(3, 1, 1, 1, 0)"
AIM-P007-050.jpg,700,560,3,0.027-0.170,0.211-0.839,0.870-0.968,0/0/0/0,si,0.169-0.559,0.561-0.970,0.494,"(3, 1, 1, 1, 0)"
