id,estado,motivo,dimensiones_normalizada,guardada,frente_detectado,espalda_detectada
AIM-P056-014.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=398",551x352,ok-saved,si,si
AIM-P056-015.jpg,ok,"logo separado de bloque ancho x[14:115] | frente/espalda fusionados, separados en x=398",545x354,ok-saved,si,si
AIM-P056-016.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",548x352,ok-saved,si,si
AIM-P056-017.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=398",556x352,ok-saved,si,si
AIM-P056-018.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",546x352,ok-saved,si,si
AIM-P056-019.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=396",543x352,ok-saved,si,si
AIM-P056-020.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",543x352,ok-saved,si,si
AIM-P056-021.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",543x352,ok-saved,si,si
AIM-P056-022.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",548x352,ok-saved,si,si
AIM-P056-023.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",545x352,ok-saved,si,si
AIM-P056-024.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=400",553x352,ok-saved,si,si
AIM-P056-025.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=398",544x353,ok-saved,si,si
AIM-P056-026.jpg,ok,"logo separado de bloque ancho x[7:109] | frente/espalda fusionados, separados en x=395",552x359,ok-saved,si,si
AIM-P056-027.jpg,ok,"logo separado de bloque ancho x[14:116] | frente/espalda fusionados, separados en x=399",563x354,ok-saved,si,si
AIM-P056-028.jpg,ok,"logo separado de bloque ancho x[14:116] | frente/espalda fusionados, separados en x=398",550x358,ok-saved,si,si
AIM-P056-029.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=391",546x352,ok-saved,si,si
AIM-P056-030.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",546x352,ok-saved,si,si
AIM-P056-031.jpg,ok,"logo separado de bloque ancho x[9:112] | frente/espalda fusionados, separados en x=399",554x361,ok-saved,si,si
AIM-P056-032.jpg,ok,"logo separado de bloque ancho x[8:110] | frente/espalda fusionados, separados en x=396",553x359,ok-saved,si,si
AIM-P056-033.jpg,ok,"logo separado de bloque ancho x[16:132] | frente/espalda fusionados, separados en x=453",620x403,ok-saved,si,si
AIM-P056-034.jpg,ok,"logo separado de bloque ancho x[11:85] | frente/espalda fusionados, separados en x=290",399x257,ok-saved,si,si
